Facility_ID,Reception_Room(s),Consultation_Room(s),Dressing_Room(s),Ward_Room(s),Injection_Room(s),Observation_Room(s),Remarks,Patient_Beds,Deliery_Beds,Baby_Cots,Ambulances,Cars,Motorcycles,Other_Transport,Sterilazation_and_Infection_Control,Means_of_Transport_to_Referral_Point,Distance_to_Referral_Point,Challanges/Remarks_to_Referral_Point,Other_Source_of_Energy,Other_Mobile_Networks,Other_Source_of_Water,Toilet_Remarks,Other_Waste_Management
102374-6,1,2,1,2,Not set,1,51,1,2,Not set,Not set,Not set,Not set,Not set,,Distric ambulance,10km,no,Not set,Not set,no,no,no
113656-3,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112267-0,1,1,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Private / public Transport,1 km,Not set,Not set,Not set,Not set,Not set,Not set
100197-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
105003-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110873-7,1,2,1,Not set,Not set,2,Not set,1,Not set,Not set,Not set,Not set,Not set,Public transport,Public transport,Not set,2km,Not set,Not set,Not set,Not set,Not set,Not set
100200-5,1,1,1,Not set,1,2,good,5,Not set,Not set,Not set,Not set,Not set,Not set,,Ambulance /Private car,1km,Inadequate transportemergency is issue how to get transport,Not set,Not set,Not set,Not set,Not set
110813-3,1,1,1,Not set,1,1,Good,2,Not set,Not set,Not set,Not set,Not set,Not set,,Self Refferal,1km,Not set,Not set,Not set,Not set,Not set,Transfer to Muhimbili Hosp
113552-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100202-1,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,Not set,Private transport,Private transport,private cars and District ambulance,7km,no means of Transport in case of emergency,kerosine lamp,Not set,Not set,Not set,Not set
100204-7,1,1,1,Not set,Not set,2,Not set,7,Not set,Not set,Not set,1,Not set,Not set,,Public Transport,3 km to Amana hospital(ilala),traffic jam,Not set,Not set,Not set,Not set,Not set
100205-4,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance and public transport,65 km,Not set,kerosene lamp,Not set,Not set,Not set,Not set
100207-0,Not set,1,1,Not set,Not set,Not set,Not set,Not set,2,Not set,Not set,Not set,Not set,Not set,,DC ambulance&Private cycles,16km,Rough road,REA,Not set,Public tubewell,Not set,Not set
111623-5,1,1,Not set,Not set,Not set,Not set,Optical workshop room available,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dust bins
111938-7,1,6,1,Not set,Not set,2,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Out sourced
112618-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100419-1,1,1,1,Not set,1,Not set,Fair,Not set,Not set,Not set,Not set,1,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Transfer to Hindu Mandal
113326-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100211-2,2,6,1,4,Not set,1,Not set,120,3,2,1,Not set,3,Not set,,Old Ambulence,500km,Frequent Breakdown of Old Ambulence,Not set,Not set,Not set,Not set,Not set
112033-6,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
107067-1,1,2,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,carsbodaboda and bajaji,2km,Not set,Not set,Not set,Not set,Not set,Not set
100215-3,1,Not set,1,Not set,Not set,1,Not set,5,2,Not set,Not set,Not set,1,PUBLIC TRANSPORT,PUBLIC TRANSPORT,Mundemu,55,Not set,Not set,hallotel,Not set,Not set,Not set
100214-6,1,1,Not set,Not set,Not set,Not set,Inadequate room,2,1,Not set,Not set,Not set,Not set,Not set,0,Ambulance from nearest health centre,80,Ambulance not always found during reffering of patient,Not set,Not set,Not set,ADEQUATE,Not set
112909-7,1,1,Not set,Not set,Not set,Not set,Optical workshop available,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Dustbins
105650-6,Not set,1,Not set,Not set,Not set,Not set,Inadquite rooms,1,1,Not set,Not set,Not set,Not set,Bicycles,Bicycles,By road,35 Km,Not set,Not set,Not set,Not set,Not set,Not set
109245-1,1,1,1,2,Not set,1,Not set,1,2,2,Not set,Not set,Not set,Not set,0,AMBULANCE,10 KM,Not set,Not set,HALOTEL,Not set,Not set,Not set
112815-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100218-7,1,1,Not set,Not set,Not set,1,Not set,2,2,Not set,Not set,Not set,Not set,Not set,,Ambulance,56 km,Not set,kernal lamp,Halotel,Not set,Not set,Not set
100220-3,1,1,1,Not set,Not set,Not set,well in good condition,1,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from Bumbuli hospital,36km,No ambulance,Not set,Not set,Not set,Not set,Not set
100221-1,1,5,1,5,3,Not set,Not set,96,3,4,3,1,Not set,Not set,,Ambulance and other Public and Private Transport,the farthest facility from referral point is 70 km,1 ambulance for all district challenge,Not set,TTCL Network,Not set,Not set,Not set
111372-9,2,1,1,2,Not set,1,Dressing is needed,6,Not set,Not set,Not set,1,1,Not set,,public transport,5km,they do not have Facility transport,Not set,Halotel,Not set,Not set,Not set
100225-2,1,1,1,Not set,Not set,1,Not set,3,Not set,Not set,Not set,Not set,Not set,public,public,Private,67,poor infrustracture,Not set,Not set,Not set,Not set,Not set
113309-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100227-8,1,1,1,2,Not set,1,Not set,50,5,1,1,Not set,2,Not set,,General Hosptal dodoma,60,None,Not set,Hallotel,RAIN WATER IS Leakeage,Not set,Not set
100228-6,1,1,1,Not set,Not set,1,Not set,3,3,Not set,Not set,Not set,Not set,Not set,,Bahi Health Centre,20,none,no,Not set,Not set,Not set,Not set
100229-4,1,1,1,Not set,Not set,1,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Bahi Health Centre,10,Not set,Not set,HOLTEL,Not set,Not set,Not set
109193-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,6,Not set,Not set,Not set,Not set,Not set,public transport,Not set,public transport,30km,Not set,Not set,Not set,Not set,Not set,Not set
100231-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100234-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100240-1,1,1,1,Not set,Not set,1,The Facility has been moved to a new nearest plot,Not set,Not set,Not set,Not set,Not set,Not set,Public transsport,Public transsport,Public transport,2.1 km,Not set,Not set,Not set,Not set,Not set,Not set
100250-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
103316-6,1,1,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,,SELF REFERRAL/PRIVATE,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111208-5,1,1,1,Not set,Not set,1,Not set,4,Not set,Not set,Not set,Not set,Not set,PRIVATE MEANS,PRIVATE MEANS,PRIVATE MEANS,3KMS,Not set,Not set,HALOTEL,Not set,Not set,Not set
100249-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109449-9,1,1,1,Not set,Not set,4,Not set,5,Not set,Not set,Not set,Not set,Not set,Not set,,Private,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100232-8,1,1,1,1,Not set,Not set,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100253-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100282-3,1,1,1,Not set,1,2,Not set,4,Not set,Not set,Not set,Not set,Not set,hakuna,hakuna,self transport/hiring,35,rough road,Not set,Not set,Not set,Not set,Not set
110065-0,1,2,1,4,Not set,1,Not set,4,Not set,Not set,Not set,Not set,1,PRIVATE TRANSNSPORT,PRIVATE TRANSNSPORT,PRIVATE TRANSPORT,5,TRANSPORT DURING REFERRALS,Not set,HALOTEL,Not set,Not set,Not set
112260-5,1,2,1,Not set,Not set,2,Not set,6,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,2km,Not set,Not set,Not set,Not set,Not set,Not set
100272-4,1,1,1,2,Not set,1,nil,2,Not set,Not set,Not set,Not set,Not set,They refer to Ushetu Health centre its almost 1000m motorcycle,They refer to Ushetu Health centre its almost 1000m motorcycle,Motorcycle,500m,Nothing,Kerosine lamp,Not set,nothing,advanced of toilet now days,Not set
111530-2,1,1,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100274-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100275-7,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111134-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100236-9,1,1,1,Not set,Not set,1,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Vehicle,4kms,Not set,Not set,Not set,Not set,Not set,Not set
112163-1,1,1,1,Not set,Not set,1,Not set,4,Not set,Not set,Not set,2,Not set,Not set,,Not set,KM 2,Not set,Not set,Not set,Not set,Not set,Not set
100278-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100279-9,1,1,1,Not set,Not set,Not set,Not set,3,1,Not set,Not set,Not set,Not set,Not set,,Private Car,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100248-4,1,1,1,1,Not set,2,Not set,6,Not set,Not set,Not set,Not set,Not set,public transport,public transport,public transport,80km,Not set,Not set,Not set,Not set,Not set,Not set
100280-7,1,Not set,1,1,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Private,2 KM,Not set,Not set,Not set,Not set,Not set,Send to Ngamiani
100254-2,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111883-5,1,2,1,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100285-6,1,1,1,Not set,Not set,1,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,0,AMBULANCE,80 KM,Not set,Not set,Not set,Not set,Not set,Not set
111220-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112245-6,1,1,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,hiring taxi,hiring taxi,taxi,2km,expensive to hire taxi,Not set,Not set,Not set,Not set,Not set
110516-2,1,1,1,Not set,Not set,2,Not set,4,Not set,Not set,Not set,Not set,Not set,Hired,Hired,Hired,4km,Poor roads,Not set,Not set,Not set,Not set,Not set
100287-2,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,private,60 km,rough road,Not set,TTCL/ Halotel,Not set,Not set,Not set
100288-0,1,2,1,2,Not set,Not set,Not set,30,2,Not set,1,Not set,Not set,Not set,,Ambulance,24km,Not set,Not set,Not set,Not set,Not set,Not set
100289-8,1,1,1,Not set,Not set,1,Normal,2,1,Not set,Not set,Not set,Not set,Not set,,Public transport and DMO's office ambulance,15,Poor transport infrastructure,Not set,Not set,Not set,Not set,Not set
100290-6,Not set,1,Not set,Not set,Not set,Not set,Not set,4,1,Not set,Not set,Not set,Not set,Not set,0,Ambulance oncall,Its about 25 Km,Rough Mad road,Not set,Halotel,Not set,Not set,Not set
104200-1,1,2,1,Not set,Not set,2,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Not set,2km,road traffic jam,Not set,Not set,Not set,Not set,Not set
112402-3,1,1,Not set,2,Not set,1,Good,5,1,Not set,Not set,Not set,Not set,Not set,,Vehicle,18 km,None,Not set,Halotel,Not set,Not set,Not set
113407-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100295-5,1,1,1,Not set,Not set,1,Not set,4,2,Not set,Not set,Not set,Not set,Not set,,MOTOR CYCLE,10 KM,No facility transport,Not set,Not set,Not set,Not set,Not set
100296-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
108586-9,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100300-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100301-1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100302-9,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100304-5,2,2,1,Not set,Not set,2,Not set,7,Not set,Not set,1,Not set,Not set,Not set,,Facility ambulance,1 KM,NO,Not set,Not set,Not set,Not set,sending to Bombo
100305-2,2,8,1,2,Not set,2,Not set,16,Not set,Not set,1,1,1,Not set,,Ambulance,3 km,Traffic jam,Not set,Not set,Not set,Not set,Not set
100306-0,1,1,Not set,1,Not set,1,Not set,5,3,Not set,Not set,Not set,Not set,bicycle,bicycle,Nill,30 km,NO MEANS TO REACHTHE REFERRAL POINT,Not set,Hallo tel,Not set,Not set,Not set
100307-8,1,1,1,1,Not set,1,Not set,5,1,1,1,Not set,Not set,no other transport,no other transport,Ambulance from same hospital,69,lack of facility vehicle,solar panel,hallotel,rain water harvesting,toilets to be renovated,incenerator to be built
100308-6,Not set,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,No means of transport to the referal areaPrivate transport is the option used,35Kilometres,Facility has no ambulance for refferal,Not set,Not set,Not set,Not set,Not set
100309-4,1,1,1,Not set,Not set,2,Not set,8,1,1,Not set,Not set,Not set,Not set,,Private,38Kilometres,NO AMBULANCE FOR REFERAL,Not set,Not set,Not set,Not set,Not set
100310-2,1,1,Not set,Not set,Not set,Not set,Not set,2,2,Not set,Not set,Not set,Not set,Not set,,Not set,9.8km,Not set,Tanesco,Not set,Not set,Not set,Not set
111830-6,1,1,1,Not set,Not set,1,Not set,4,Not set,Not set,Not set,Not set,Not set,Not set,,Public transport,3kms,Not set,Tanesco Generator,Hallotel,Not set,Not set,wste tranferred to referal hosp for incineration
100312-8,Not set,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,1,Not set,0,Not set,Its about 50 Km,Rough Mad road,Not set,Halotel,Not set,Not set,Not set
112918-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100313-6,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100210-4,1,1,1,Not set,Not set,2,Good,2,Not set,Not set,Not set,1,Not set,Not set,,Gari la shirika,30km,Not set,Not set,Not set,Not set,Not set,Transfer to Muhimbili Hosp
100315-1,Not set,Not set,1,Not set,Not set,Not set,Not set,3,3,Not set,Not set,Not set,Not set,Not set,,Bahi Health Centre,24,transport,Not set,Not set,Not set,Not set,Not set
100316-9,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,wanachota korongoni dumu moja tsh.elfu moja,Not set,Not set
100341-7,1,2,1,4,Not set,2,Not set,9,2,Not set,Not set,1,Not set,Not set,,Dispensary Car,Not set,Dispensary Car,Not set,TTCL,Not set,Not set,Not set
100318-5,1,4,1,3,Not set,Not set,Not set,39,Not set,Not set,1,Not set,1,Not set,,Hospital ambulance,Not set,Not set,Tanesco,Not set,Not set,Not set,Not set
100319-3,1,1,1,1,Not set,1,Not set,1,2,Not set,Not set,Not set,Not set,Not set,,Ambulance,41Km,Not set,Not set,Not set,Not set,Not set,Not set
109973-8,1,1,1,1,Not set,1,Not set,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,41KM,Not set,Not set,Not set,Not set,Not set,Not set
113551-6,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100320-1,1,2,1,3,Not set,Not set,Not set,17,1,2,Not set,Not set,Not set,Not set,,Public Transport,6km,Lack of FacilityTransport,Not set,Not set,Not set,Not set,Not set
112771-1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,No,No,Private Car,1 Km,No challenge,No,HalotelTTCL,None,Not set,None
112600-2,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113285-1,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100322-7,1,2,1,Not set,Not set,3,Not set,3,Not set,Not set,Not set,1,Not set,Not set,,private cars and District ambulance,7km,Not set,Not set,Not set,Not set,Not set,Not set
100321-9,1,1,1,Not set,Not set,1,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Ambulance,87kms,Rough road,Not set,Halotel,Not set,Not set,Not set
110772-1,1,1,1,Not set,Not set,2,Not set,3,Not set,Not set,Not set,Not set,Not set,Not set,,Hire car,6kms to Sinza hospital,Not set,Not set,Not set,Not set,Not set,Not set
100323-5,1,1,1,Not set,Not set,1,Not set,1,2,Not set,Not set,Not set,Not set,Not set,,public,40 km,poor transportation,Not set,Not set,Not set,Not set,Not set
100324-3,1,3,1,5,Not set,1,Not set,17,1,1,1,1,Not set,Not set,,health facility ambulance,42,Not set,Not set,Not set,Not set,Not set,Not set
100325-0,1,1,Not set,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,None,None,Ambulance from DMOs Office,32Km,Unreliable transport to reach referral point,Kerosine,HALOTEL,Not set,Not set,Not set
100326-8,1,1,1,Not set,Not set,Not set,Not set,2,1,Not set,Not set,Not set,1,Not set,,By using private transport,8.4 km,No public ambulance for refferal point,Not set,Not set,Not set,Not set,Not set
113642-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100327-6,1,10,1,7,Not set,1,Not set,175,6,Not set,1,2,Not set,Not set,,Ambulance and private cars.,200,Insufficient means of Transport.,kerosene,TTCL,Not set,Not set,Not set
100328-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113016-0,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100330-0,1,1,1,Not set,Not set,1,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,wanaomba msaada Wilayani,Not set,Not set,Not set,Hal Tel,Unprotected water,Not set,Not set
100331-8,1,1,Not set,Not set,Not set,Not set,Not set,Not set,1,Not set,Not set,Not set,Not set,public transiport,public transiport,public transport,30km,Not set,Not set,Not set,Not set,Not set,Not set
100332-6,Not set,1,Not set,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109560-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100334-2,1,2,1,Not set,Not set,1,Not set,4,2,Not set,Not set,Not set,Not set,Not set,,By using private transport,30.4 km,No ambulance for refferal owned by the facility,Not set,Not set,Not set,Not set,Not set
112013-8,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
109512-4,1,1,1,Not set,Not set,1,Not set,2,1,Not set,Not set,Not set,Not set,Not set,,A Car from Bashnet Hospital,1.5KM,Not set,Not set,Not set,Not set,Not set,Open burning
100336-7,2,2,1,5,Not set,Not set,Not set,120,2,Not set,Not set,1,Not set,Not set,0,Land cruiser hard top,80 km,Rough road,Not set,Not set,Not set,Clean,Not set
100339-1,1,1,1,Not set,Not set,Not set,Not set,1,1,Not set,Not set,Not set,Not set,public transport,public transport,public transport,Not set,long distance to refferal point and rough road,kerosine lamp,Not set,Not set,Not set,Not set
100338-3,Not set,1,Not set,Not set,Not set,Not set,Not set,3,1,Not set,Not set,Not set,Not set,Not set,,Ambulance from Haydom Hospital,60km,Not set,Not set,Not set,Bwawa,Not set,Not set
100340-9,Not set,2,Not set,2,Not set,Not set,Not set,12,2,Not set,Not set,Not set,Not set,Not set,,Ambulance from Haydom Hospital,27km,Not set,Not set,Not set,Lake Basotu,Not set,Not set
111959-3,1,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100342-5,1,1,1,Not set,Not set,Not set,The building is in good condition,1,1,Not set,Not set,Not set,Not set,Not set,,Public transport,Not set,Roads,Not set,Not set,Not set,Not set,Not set
110825-7,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110738-2,2,6,1,Not set,Not set,Not set,Good Condition,2,Not set,Not set,Not set,Not set,Not set,Organization Car,Organization Car,Organization car,The Facility is within The Mbeya Refferal Hospital,Not set,Not set,Halotel,Not set,Good condition,Not set
100343-3,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113206-7,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113599-5,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100344-1,1,1,1,1,Not set,1,Not set,8,1,Not set,Not set,Not set,Not set,BYSCLE,BYSCLE,AMBULANCE,90 KM,POOR INFRUSTRACTURE DURING RAIN SEASSON,Not set,HALOTEL,Not set,Not set,Not set
112324-9,1,1,1,1,Not set,2,Not set,4,Not set,Not set,Not set,1,Not set,Not set,,Hired car,3kms to M/Nyamala Hospital,Not set,Not set,Not set,Not set,Not set,Not set
113881-7,1,1,1,Not set,1,3,Not set,8,1,Not set,Not set,Not set,1,Not set,,Not set,25 km,Not set,Not set,Halotel TTCL,Not set,Not set,Not set
100345-8,Not set,1,Not set,Not set,Not set,1,Not set,Not set,1,Not set,Not set,Not set,Not set,Not set,,Call ambulance from Maneromango H/C,8 KM,Not set,Not set,Not set,Not set,Not set,Not set
110551-9,1,2,1,Not set,Not set,2,Not set,2,Not set,Not set,Not set,Not set,Not set,Not set,,Hire car,10 km to Sinza hospital,Traffic jam,Not set,Not set,supplied by bozzer,Not set,Not set
110643-4,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
110860-4,1,1,1,Not set,Not set,1,Not set,1,Not set,Not set,Not set,Not set,Not set,private transport,private transport,private,0.5 km,None,Not set,Not set,Not set,Not set,Not set
100348-2,1,1,1,Not set,Not set,1,romms must be renovated,4,1,Not set,Not set,Not set,1,motocycle ambulance,motocycle ambulance,public transport,102,bad infrastucture,solar panels,hallotel,public tape,more toilets must be built,dug hole
112951-9,1,1,Not set,Not set,1,Not set,They use one room for injection and Dressing,2,Not set,Not set,Not set,Not set,Not set,Not set,,Call for ambulance,0.5km,Not set,Not set,Not set,Not set,Not set,Not set
112822-2,1,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112541-8,1,1,Not set,Not set,Not set,Not set,The site is fit for care provision,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,1.8 km,no any challenge,Not set,Hallotel,Not set,It is clean but need to separate toilet for staff and clients,Not set
112816-4,1,1,Not set,Not set,Not set,Not set,optical workshop room available,Not set,Not set,Not set,Not set,Not set,Not set,Not set,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,dustibins
