Facility_ID,Type of Infrastructure,Value
108606-5,Mobile_Networks,Vodacom
108606-5,Mobile_Networks,Tigo
102140-1,Mobile_Networks,Not set
102142-7,Mobile_Networks,Airtel
102142-7,Mobile_Networks,Vodacom
102142-7,Mobile_Networks,Tigo
102143-5,Mobile_Networks,Airtel
102143-5,Mobile_Networks,Vodacom
102143-5,Mobile_Networks,Tigo
102143-5,Mobile_Networks,Zantel
109702-1,Mobile_Networks,Not set
102144-3,Mobile_Networks,Airtel
102144-3,Mobile_Networks,Vodacom
102144-3,Mobile_Networks,Tigo
102145-0,Mobile_Networks,Airtel
102145-0,Mobile_Networks,Tigo
112044-3,Mobile_Networks,Airtel
112044-3,Mobile_Networks,Vodacom
102146-8,Mobile_Networks,Airtel
102146-8,Mobile_Networks,Vodacom
102146-8,Mobile_Networks,Tigo
102146-8,Mobile_Networks,Zantel
102147-6,Mobile_Networks,Vodacom
102148-4,Mobile_Networks,Vodacom
102149-2,Mobile_Networks,Vodacom
102149-2,Mobile_Networks,Tigo
102149-2,Mobile_Networks,Other
112986-5,Mobile_Networks,Airtel
112986-5,Mobile_Networks,Vodacom
112986-5,Mobile_Networks,Tigo
112986-5,Mobile_Networks,Zantel
112986-5,Mobile_Networks,Other
111826-4,Mobile_Networks,Airtel
111826-4,Mobile_Networks,Vodacom
111826-4,Mobile_Networks,Tigo
111826-4,Mobile_Networks,Other
102150-0,Mobile_Networks,Airtel
102150-0,Mobile_Networks,Vodacom
102150-0,Mobile_Networks,Tigo
100670-9,Mobile_Networks,Airtel
100670-9,Mobile_Networks,Vodacom
100670-9,Mobile_Networks,Tigo
100670-9,Mobile_Networks,Zantel
100670-9,Mobile_Networks,Other
100671-7,Mobile_Networks,Not set
102151-8,Mobile_Networks,Vodacom
109556-1,Mobile_Networks,Not set
102152-6,Mobile_Networks,Airtel
102152-6,Mobile_Networks,Vodacom
102152-6,Mobile_Networks,Tigo
102153-4,Mobile_Networks,Not set
112410-6,Mobile_Networks,Airtel
112410-6,Mobile_Networks,Vodacom
102154-2,Mobile_Networks,Airtel
102154-2,Mobile_Networks,Vodacom
102154-2,Mobile_Networks,Tigo
102155-9,Mobile_Networks,Airtel
102155-9,Mobile_Networks,Vodacom
102156-7,Mobile_Networks,Airtel
102156-7,Mobile_Networks,Vodacom
102156-7,Mobile_Networks,Tigo
102158-3,Mobile_Networks,Airtel
102158-3,Mobile_Networks,Vodacom
102158-3,Mobile_Networks,Tigo
102158-3,Mobile_Networks,Zantel
102159-1,Mobile_Networks,Airtel
102159-1,Mobile_Networks,Vodacom
102159-1,Mobile_Networks,Tigo
102161-7,Mobile_Networks,Not set
102163-3,Mobile_Networks,Vodacom
109969-6,Mobile_Networks,Airtel
109969-6,Mobile_Networks,Vodacom
109969-6,Mobile_Networks,Tigo
102166-6,Mobile_Networks,Airtel
102166-6,Mobile_Networks,Vodacom
102166-6,Mobile_Networks,Tigo
102166-6,Mobile_Networks,Zantel
102167-4,Mobile_Networks,Not set
102168-2,Mobile_Networks,Airtel
102168-2,Mobile_Networks,Vodacom
102168-2,Mobile_Networks,Tigo
102168-2,Mobile_Networks,Zantel
109779-9,Mobile_Networks,Airtel
109779-9,Mobile_Networks,Vodacom
109779-9,Mobile_Networks,Tigo
109779-9,Mobile_Networks,Zantel
109779-9,Mobile_Networks,Other
102169-0,Mobile_Networks,Airtel
102169-0,Mobile_Networks,Vodacom
102169-0,Mobile_Networks,Tigo
102169-0,Mobile_Networks,Zantel
110148-4,Mobile_Networks,Airtel
110148-4,Mobile_Networks,Vodacom
102170-8,Mobile_Networks,Airtel
102170-8,Mobile_Networks,Vodacom
102170-8,Mobile_Networks,Tigo
102170-8,Mobile_Networks,Zantel
102170-8,Mobile_Networks,Other
102172-4,Mobile_Networks,Airtel
102172-4,Mobile_Networks,Vodacom
102172-4,Mobile_Networks,Tigo
102172-4,Mobile_Networks,Zantel
102174-0,Mobile_Networks,Airtel
102174-0,Mobile_Networks,Vodacom
102174-0,Mobile_Networks,Tigo
102175-7,Mobile_Networks,Airtel
102175-7,Mobile_Networks,Vodacom
102176-5,Mobile_Networks,Airtel
102176-5,Mobile_Networks,Vodacom
102176-5,Mobile_Networks,Tigo
102177-3,Mobile_Networks,Airtel
102177-3,Mobile_Networks,Vodacom
102177-3,Mobile_Networks,Tigo
102177-3,Mobile_Networks,Zantel
102178-1,Mobile_Networks,Airtel
102178-1,Mobile_Networks,Vodacom
102178-1,Mobile_Networks,Tigo
102181-5,Mobile_Networks,Airtel
102181-5,Mobile_Networks,Vodacom
102181-5,Mobile_Networks,Tigo
102181-5,Mobile_Networks,Zantel
102180-7,Mobile_Networks,Vodacom
102182-3,Mobile_Networks,Airtel
102182-3,Mobile_Networks,Vodacom
108906-9,Mobile_Networks,Airtel
108906-9,Mobile_Networks,Tigo
102183-1,Mobile_Networks,Airtel
102183-1,Mobile_Networks,Vodacom
102183-1,Mobile_Networks,Tigo
102183-1,Mobile_Networks,Zantel
102184-9,Mobile_Networks,Airtel
102184-9,Mobile_Networks,Vodacom
102184-9,Mobile_Networks,Tigo
102185-6,Mobile_Networks,Airtel
102185-6,Mobile_Networks,Vodacom
102185-6,Mobile_Networks,Tigo
111176-4,Mobile_Networks,Airtel
111176-4,Mobile_Networks,Vodacom
111176-4,Mobile_Networks,Tigo
102187-2,Mobile_Networks,Not set
102186-4,Mobile_Networks,Airtel
102186-4,Mobile_Networks,Vodacom
102186-4,Mobile_Networks,Tigo
102186-4,Mobile_Networks,Zantel
102188-0,Mobile_Networks,Airtel
102188-0,Mobile_Networks,Vodacom
102188-0,Mobile_Networks,Tigo
102190-6,Mobile_Networks,Airtel
102190-6,Mobile_Networks,Vodacom
102190-6,Mobile_Networks,Tigo
102191-4,Mobile_Networks,Airtel
102191-4,Mobile_Networks,Vodacom
102191-4,Mobile_Networks,Tigo
102192-2,Mobile_Networks,Airtel
102192-2,Mobile_Networks,Vodacom
102192-2,Mobile_Networks,Tigo
102192-2,Mobile_Networks,Zantel
102193-0,Mobile_Networks,Airtel
110676-4,Mobile_Networks,Not set
104985-7,Mobile_Networks,Not set
102195-5,Mobile_Networks,Airtel
102195-5,Mobile_Networks,Vodacom
102195-5,Mobile_Networks,Tigo
102195-5,Mobile_Networks,Zantel
102196-3,Mobile_Networks,Not set
102197-1,Mobile_Networks,Tigo
102198-9,Mobile_Networks,Vodacom
102199-7,Mobile_Networks,Airtel
102199-7,Mobile_Networks,Vodacom
102199-7,Mobile_Networks,Tigo
102200-3,Mobile_Networks,Airtel
102200-3,Mobile_Networks,Vodacom
102200-3,Mobile_Networks,Tigo
102200-3,Mobile_Networks,Other
102202-9,Mobile_Networks,Airtel
102202-9,Mobile_Networks,Vodacom
102202-9,Mobile_Networks,Tigo
102202-9,Mobile_Networks,Zantel
112165-6,Mobile_Networks,Airtel
112165-6,Mobile_Networks,Vodacom
108690-9,Mobile_Networks,Airtel
108690-9,Mobile_Networks,Vodacom
108690-9,Mobile_Networks,Tigo
109665-0,Mobile_Networks,Vodacom
102205-2,Mobile_Networks,Airtel
102205-2,Mobile_Networks,Vodacom
102207-8,Mobile_Networks,Airtel
102207-8,Mobile_Networks,Vodacom
102207-8,Mobile_Networks,Tigo
102207-8,Mobile_Networks,Zantel
108703-0,Mobile_Networks,Airtel
108703-0,Mobile_Networks,Vodacom
108703-0,Mobile_Networks,Tigo
102210-2,Mobile_Networks,Airtel
102210-2,Mobile_Networks,Vodacom
102211-0,Mobile_Networks,Airtel
102211-0,Mobile_Networks,Vodacom
102211-0,Mobile_Networks,Tigo
102211-0,Mobile_Networks,Other
110849-7,Mobile_Networks,Not set
102209-4,Mobile_Networks,Airtel
102209-4,Mobile_Networks,Vodacom
102209-4,Mobile_Networks,Tigo
102213-6,Mobile_Networks,Airtel
102213-6,Mobile_Networks,Vodacom
102213-6,Mobile_Networks,Tigo
102213-6,Mobile_Networks,Other
112883-4,Mobile_Networks,Not set
110219-3,Mobile_Networks,Vodacom
110219-3,Mobile_Networks,Other
102216-9,Mobile_Networks,Airtel
102216-9,Mobile_Networks,Vodacom
102218-5,Mobile_Networks,Not set
102217-7,Mobile_Networks,Other
102219-3,Mobile_Networks,Airtel
102219-3,Mobile_Networks,Vodacom
110049-4,Mobile_Networks,Airtel
110049-4,Mobile_Networks,Vodacom
110049-4,Mobile_Networks,Tigo
110150-0,Mobile_Networks,Airtel
110150-0,Mobile_Networks,Vodacom
110150-0,Mobile_Networks,Tigo
102221-9,Mobile_Networks,Airtel
102221-9,Mobile_Networks,Vodacom
102221-9,Mobile_Networks,Tigo
102221-9,Mobile_Networks,Zantel
102222-7,Mobile_Networks,Airtel
102222-7,Mobile_Networks,Vodacom
112955-0,Mobile_Networks,Airtel
112955-0,Mobile_Networks,Vodacom
112955-0,Mobile_Networks,Tigo
113422-0,Mobile_Networks,Airtel
113422-0,Mobile_Networks,Vodacom
113422-0,Mobile_Networks,Tigo
102223-5,Mobile_Networks,Airtel
102223-5,Mobile_Networks,Vodacom
102225-0,Mobile_Networks,Airtel
102225-0,Mobile_Networks,Vodacom
102225-0,Mobile_Networks,Tigo
102227-6,Mobile_Networks,Airtel
102227-6,Mobile_Networks,Vodacom
102228-4,Mobile_Networks,Vodacom
111482-6,Mobile_Networks,Not set
102231-8,Mobile_Networks,Airtel
102231-8,Mobile_Networks,Vodacom
102231-8,Mobile_Networks,Tigo
102232-6,Mobile_Networks,Airtel
102232-6,Mobile_Networks,Vodacom
102232-6,Mobile_Networks,Tigo
102233-4,Mobile_Networks,Airtel
102233-4,Mobile_Networks,Tigo
102234-2,Mobile_Networks,Airtel
102235-9,Mobile_Networks,Airtel
102235-9,Mobile_Networks,Vodacom
102235-9,Mobile_Networks,Tigo
102235-9,Mobile_Networks,Zantel
102236-7,Mobile_Networks,Not set
102237-5,Mobile_Networks,Airtel
102237-5,Mobile_Networks,Vodacom
102237-5,Mobile_Networks,Tigo
102238-3,Mobile_Networks,Airtel
102238-3,Mobile_Networks,Vodacom
102239-1,Mobile_Networks,Airtel
102239-1,Mobile_Networks,Vodacom
102239-1,Mobile_Networks,Tigo
102239-1,Mobile_Networks,Zantel
102239-1,Mobile_Networks,Other
102242-5,Mobile_Networks,Airtel
102242-5,Mobile_Networks,Vodacom
102242-5,Mobile_Networks,Tigo
102242-5,Mobile_Networks,Zantel
102241-7,Mobile_Networks,Not set
102243-3,Mobile_Networks,Not set
112738-0,Mobile_Networks,Not set
113031-9,Mobile_Networks,Not set
102247-4,Mobile_Networks,Airtel
102247-4,Mobile_Networks,Vodacom
102248-2,Mobile_Networks,Airtel
102248-2,Mobile_Networks,Vodacom
102248-2,Mobile_Networks,Tigo
102249-0,Mobile_Networks,Airtel
102249-0,Mobile_Networks,Vodacom
102249-0,Mobile_Networks,Tigo
102249-0,Mobile_Networks,Zantel
110899-2,Mobile_Networks,Not set
109992-8,Mobile_Networks,Airtel
109992-8,Mobile_Networks,Vodacom
102253-2,Mobile_Networks,Airtel
102253-2,Mobile_Networks,Vodacom
102253-2,Mobile_Networks,Tigo
102253-2,Mobile_Networks,Zantel
102253-2,Mobile_Networks,Other
102254-0,Mobile_Networks,Airtel
102254-0,Mobile_Networks,Vodacom
102255-7,Mobile_Networks,Not set
102256-5,Mobile_Networks,Airtel
102256-5,Mobile_Networks,Vodacom
102256-5,Mobile_Networks,Tigo
102257-3,Mobile_Networks,Airtel
102257-3,Mobile_Networks,Vodacom
102257-3,Mobile_Networks,Tigo
102258-1,Mobile_Networks,Airtel
102258-1,Mobile_Networks,Vodacom
102258-1,Mobile_Networks,Tigo
102258-1,Mobile_Networks,Zantel
102258-1,Mobile_Networks,Other
102259-9,Mobile_Networks,Not set
102260-7,Mobile_Networks,Not set
102262-3,Mobile_Networks,Not set
102263-1,Mobile_Networks,Airtel
102263-1,Mobile_Networks,Vodacom
102265-6,Mobile_Networks,Vodacom
102267-2,Mobile_Networks,Not set
102268-0,Mobile_Networks,Airtel
102268-0,Mobile_Networks,Tigo
110677-2,Mobile_Networks,Airtel
110677-2,Mobile_Networks,Vodacom
110677-2,Mobile_Networks,Tigo
110677-2,Mobile_Networks,Zantel
110678-0,Mobile_Networks,Not set
109889-6,Mobile_Networks,Not set
102269-8,Mobile_Networks,Airtel
102269-8,Mobile_Networks,Vodacom
102269-8,Mobile_Networks,Tigo
102269-8,Mobile_Networks,Zantel
110931-3,Mobile_Networks,Not set
102270-6,Mobile_Networks,Airtel
102270-6,Mobile_Networks,Vodacom
102270-6,Mobile_Networks,Tigo
102271-4,Mobile_Networks,Airtel
102271-4,Mobile_Networks,Vodacom
102271-4,Mobile_Networks,Tigo
102272-2,Mobile_Networks,Airtel
102272-2,Mobile_Networks,Vodacom
112060-9,Mobile_Networks,Airtel
112060-9,Mobile_Networks,Vodacom
112060-9,Mobile_Networks,Tigo
112060-9,Mobile_Networks,Zantel
109541-3,Mobile_Networks,Airtel
109541-3,Mobile_Networks,Vodacom
109541-3,Mobile_Networks,Tigo
109541-3,Mobile_Networks,Zantel
102274-8,Mobile_Networks,Not set
102275-5,Mobile_Networks,Airtel
102275-5,Mobile_Networks,Vodacom
102276-3,Mobile_Networks,Vodacom
102277-1,Mobile_Networks,Airtel
102277-1,Mobile_Networks,Vodacom
102278-9,Mobile_Networks,Airtel
102278-9,Mobile_Networks,Vodacom
102278-9,Mobile_Networks,Tigo
102278-9,Mobile_Networks,Zantel
102279-7,Mobile_Networks,Not set
105906-2,Mobile_Networks,Airtel
105906-2,Mobile_Networks,Vodacom
105906-2,Mobile_Networks,Tigo
105906-2,Mobile_Networks,Zantel
102281-3,Mobile_Networks,Airtel
102281-3,Mobile_Networks,Vodacom
102281-3,Mobile_Networks,Tigo
102281-3,Mobile_Networks,Zantel
102282-1,Mobile_Networks,Airtel
102282-1,Mobile_Networks,Vodacom
102282-1,Mobile_Networks,Tigo
102282-1,Mobile_Networks,Other
102283-9,Mobile_Networks,Airtel
102283-9,Mobile_Networks,Vodacom
102283-9,Mobile_Networks,Tigo
110807-5,Mobile_Networks,Airtel
110807-5,Mobile_Networks,Vodacom
110807-5,Mobile_Networks,Tigo
102286-2,Mobile_Networks,Vodacom
102286-2,Mobile_Networks,Tigo
102287-0,Mobile_Networks,Airtel
102287-0,Mobile_Networks,Vodacom
102287-0,Mobile_Networks,Tigo
102287-0,Mobile_Networks,Zantel
102288-8,Mobile_Networks,Not set
102289-6,Mobile_Networks,Vodacom
102289-6,Mobile_Networks,Tigo
109202-2,Mobile_Networks,Vodacom
109202-2,Mobile_Networks,Tigo
102291-2,Mobile_Networks,Not set
112413-0,Mobile_Networks,Airtel
112413-0,Mobile_Networks,Vodacom
102293-8,Mobile_Networks,Airtel
102293-8,Mobile_Networks,Vodacom
102293-8,Mobile_Networks,Tigo
106702-4,Mobile_Networks,Airtel
106702-4,Mobile_Networks,Vodacom
106702-4,Mobile_Networks,Tigo
106702-4,Mobile_Networks,Zantel
106702-4,Mobile_Networks,Other
102294-6,Mobile_Networks,Airtel
102294-6,Mobile_Networks,Vodacom
102294-6,Mobile_Networks,Tigo
102294-6,Mobile_Networks,Zantel
102294-6,Mobile_Networks,Other
102295-3,Mobile_Networks,Airtel
102295-3,Mobile_Networks,Vodacom
102295-3,Mobile_Networks,Tigo
113144-0,Mobile_Networks,Not set
102297-9,Mobile_Networks,Airtel
102297-9,Mobile_Networks,Vodacom
102297-9,Mobile_Networks,Tigo
102297-9,Mobile_Networks,Zantel
102290-4,Mobile_Networks,Airtel
102290-4,Mobile_Networks,Vodacom
102290-4,Mobile_Networks,Tigo
102290-4,Mobile_Networks,Zantel
102298-7,Mobile_Networks,Airtel
102298-7,Mobile_Networks,Vodacom
102298-7,Mobile_Networks,Tigo
102299-5,Mobile_Networks,Airtel
102299-5,Mobile_Networks,Vodacom
111489-1,Mobile_Networks,Airtel
111489-1,Mobile_Networks,Vodacom
111489-1,Mobile_Networks,Tigo
111489-1,Mobile_Networks,Zantel
102302-7,Mobile_Networks,Airtel
102302-7,Mobile_Networks,Vodacom
102302-7,Mobile_Networks,Tigo
102305-0,Mobile_Networks,Airtel
102305-0,Mobile_Networks,Vodacom
102305-0,Mobile_Networks,Tigo
102304-3,Mobile_Networks,Airtel
102304-3,Mobile_Networks,Vodacom
102306-8,Mobile_Networks,Not set
102307-6,Mobile_Networks,Airtel
102307-6,Mobile_Networks,Vodacom
102307-6,Mobile_Networks,Tigo
102308-4,Mobile_Networks,Not set
109553-8,Mobile_Networks,Airtel
109553-8,Mobile_Networks,Vodacom
109553-8,Mobile_Networks,Tigo
102310-0,Mobile_Networks,Airtel
102310-0,Mobile_Networks,Vodacom
102310-0,Mobile_Networks,Other
109322-8,Mobile_Networks,Airtel
109322-8,Mobile_Networks,Vodacom
109322-8,Mobile_Networks,Tigo
109322-8,Mobile_Networks,Zantel
113241-4,Mobile_Networks,Not set
102314-2,Mobile_Networks,Airtel
102314-2,Mobile_Networks,Vodacom
102314-2,Mobile_Networks,Tigo
102321-7,Mobile_Networks,Vodacom
102316-7,Mobile_Networks,Not set
102317-5,Mobile_Networks,Airtel
102317-5,Mobile_Networks,Vodacom
102317-5,Mobile_Networks,Tigo
102317-5,Mobile_Networks,Zantel
102317-5,Mobile_Networks,Other
109159-4,Mobile_Networks,Airtel
109159-4,Mobile_Networks,Vodacom
109159-4,Mobile_Networks,Tigo
102318-3,Mobile_Networks,Airtel
102318-3,Mobile_Networks,Vodacom
102318-3,Mobile_Networks,Tigo
102319-1,Mobile_Networks,Airtel
102319-1,Mobile_Networks,Vodacom
102322-5,Mobile_Networks,Airtel
102322-5,Mobile_Networks,Vodacom
102322-5,Mobile_Networks,Tigo
102323-3,Mobile_Networks,Airtel
102323-3,Mobile_Networks,Vodacom
102323-3,Mobile_Networks,Tigo
102324-1,Mobile_Networks,Airtel
102324-1,Mobile_Networks,Vodacom
102324-1,Mobile_Networks,Tigo
102326-6,Mobile_Networks,Airtel
102326-6,Mobile_Networks,Vodacom
102326-6,Mobile_Networks,Tigo
102326-6,Mobile_Networks,Zantel
102329-0,Mobile_Networks,Vodacom
102330-8,Mobile_Networks,Airtel
102330-8,Mobile_Networks,Vodacom
102330-8,Mobile_Networks,Tigo
102330-8,Mobile_Networks,Zantel
102330-8,Mobile_Networks,Other
102333-2,Mobile_Networks,Vodacom
102333-2,Mobile_Networks,Tigo
102335-7,Mobile_Networks,Not set
102336-5,Mobile_Networks,Not set
102337-3,Mobile_Networks,Vodacom
102337-3,Mobile_Networks,Tigo
102338-1,Mobile_Networks,Airtel
102338-1,Mobile_Networks,Vodacom
108913-5,Mobile_Networks,Airtel
108913-5,Mobile_Networks,Vodacom
102340-7,Mobile_Networks,Airtel
102340-7,Mobile_Networks,Vodacom
102341-5,Mobile_Networks,Not set
112981-6,Mobile_Networks,Not set
108684-2,Mobile_Networks,Airtel
108684-2,Mobile_Networks,Vodacom
108684-2,Mobile_Networks,Tigo
108684-2,Mobile_Networks,Zantel
108684-2,Mobile_Networks,Other
111335-6,Mobile_Networks,Airtel
111335-6,Mobile_Networks,Vodacom
111335-6,Mobile_Networks,Tigo
111335-6,Mobile_Networks,Zantel
111335-6,Mobile_Networks,Other
102342-3,Mobile_Networks,Airtel
102342-3,Mobile_Networks,Vodacom
102342-3,Mobile_Networks,Tigo
102344-9,Mobile_Networks,Airtel
102343-1,Mobile_Networks,Airtel
102343-1,Mobile_Networks,Vodacom
102343-1,Mobile_Networks,Tigo
102345-6,Mobile_Networks,Airtel
102345-6,Mobile_Networks,Vodacom
102346-4,Mobile_Networks,Airtel
102346-4,Mobile_Networks,Vodacom
102346-4,Mobile_Networks,Tigo
102346-4,Mobile_Networks,Zantel
102347-2,Mobile_Networks,Not set
102348-0,Mobile_Networks,Airtel
102348-0,Mobile_Networks,Vodacom
102349-8,Mobile_Networks,Airtel
102349-8,Mobile_Networks,Vodacom
102349-8,Mobile_Networks,Tigo
102352-2,Mobile_Networks,Airtel
102352-2,Mobile_Networks,Vodacom
102352-2,Mobile_Networks,Tigo
102352-2,Mobile_Networks,Zantel
112174-8,Mobile_Networks,Vodacom
112174-8,Mobile_Networks,Tigo
112174-8,Mobile_Networks,Other
102353-0,Mobile_Networks,Not set
109171-9,Mobile_Networks,Other
102355-5,Mobile_Networks,Airtel
102355-5,Mobile_Networks,Vodacom
102356-3,Mobile_Networks,Airtel
102356-3,Mobile_Networks,Vodacom
102356-3,Mobile_Networks,Tigo
102356-3,Mobile_Networks,Other
102357-1,Mobile_Networks,Vodacom
102358-9,Mobile_Networks,Not set
108865-7,Mobile_Networks,Airtel
108865-7,Mobile_Networks,Vodacom
102359-7,Mobile_Networks,Other
102361-3,Mobile_Networks,Airtel
102361-3,Mobile_Networks,Vodacom
102361-3,Mobile_Networks,Tigo
102361-3,Mobile_Networks,Zantel
102362-1,Mobile_Networks,Airtel
102362-1,Mobile_Networks,Vodacom
102362-1,Mobile_Networks,Tigo
102362-1,Mobile_Networks,Zantel
110952-9,Mobile_Networks,Airtel
110952-9,Mobile_Networks,Vodacom
110952-9,Mobile_Networks,Tigo
110952-9,Mobile_Networks,Zantel
110952-9,Mobile_Networks,Other
102363-9,Mobile_Networks,Airtel
102364-7,Mobile_Networks,Airtel
102364-7,Mobile_Networks,Vodacom
102364-7,Mobile_Networks,Tigo
112098-9,Mobile_Networks,Not set
102366-2,Mobile_Networks,Vodacom
102369-6,Mobile_Networks,Airtel
102369-6,Mobile_Networks,Vodacom
102368-8,Mobile_Networks,Airtel
102368-8,Mobile_Networks,Vodacom
102368-8,Mobile_Networks,Tigo
102368-8,Mobile_Networks,Zantel
102370-4,Mobile_Networks,Airtel
102370-4,Mobile_Networks,Vodacom
102370-4,Mobile_Networks,Tigo
102370-4,Mobile_Networks,Zantel
102372-0,Mobile_Networks,Airtel
102372-0,Mobile_Networks,Vodacom
102372-0,Mobile_Networks,Tigo
102373-8,Mobile_Networks,Airtel
102373-8,Mobile_Networks,Vodacom
102373-8,Mobile_Networks,Tigo
102229-2,Mobile_Networks,Airtel
102229-2,Mobile_Networks,Vodacom
102375-3,Mobile_Networks,Airtel
102375-3,Mobile_Networks,Vodacom
102375-3,Mobile_Networks,Tigo
110376-1,Mobile_Networks,Vodacom
110376-1,Mobile_Networks,Tigo
102376-1,Mobile_Networks,Not set
102377-9,Mobile_Networks,Airtel
102377-9,Mobile_Networks,Vodacom
102378-7,Mobile_Networks,Airtel
102378-7,Mobile_Networks,Vodacom
102381-1,Mobile_Networks,Airtel
102381-1,Mobile_Networks,Vodacom
102381-1,Mobile_Networks,Tigo
102381-1,Mobile_Networks,Other
102382-9,Mobile_Networks,Airtel
102382-9,Mobile_Networks,Other
102383-7,Mobile_Networks,Airtel
102383-7,Mobile_Networks,Vodacom
102383-7,Mobile_Networks,Tigo
102384-5,Mobile_Networks,Airtel
102384-5,Mobile_Networks,Vodacom
102384-5,Mobile_Networks,Tigo
102384-5,Mobile_Networks,Zantel
102385-2,Mobile_Networks,Not set
102386-0,Mobile_Networks,Airtel
102386-0,Mobile_Networks,Vodacom
102386-0,Mobile_Networks,Tigo
102386-0,Mobile_Networks,Zantel
108579-4,Mobile_Networks,Airtel
108579-4,Mobile_Networks,Vodacom
108579-4,Mobile_Networks,Tigo
108579-4,Mobile_Networks,Zantel
102387-8,Mobile_Networks,Airtel
102387-8,Mobile_Networks,Vodacom
102387-8,Mobile_Networks,Tigo
102388-6,Mobile_Networks,Airtel
102388-6,Mobile_Networks,Vodacom
102388-6,Mobile_Networks,Tigo
102388-6,Mobile_Networks,Zantel
102389-4,Mobile_Networks,Airtel
102389-4,Mobile_Networks,Vodacom
102389-4,Mobile_Networks,Tigo
102390-2,Mobile_Networks,Airtel
102390-2,Mobile_Networks,Vodacom
102390-2,Mobile_Networks,Tigo
102391-0,Mobile_Networks,Airtel
102391-0,Mobile_Networks,Vodacom
102391-0,Mobile_Networks,Tigo
110146-8,Mobile_Networks,Not set
102392-8,Mobile_Networks,Not set
102393-6,Mobile_Networks,Airtel
102393-6,Mobile_Networks,Vodacom
102394-4,Mobile_Networks,Airtel
102394-4,Mobile_Networks,Vodacom
102394-4,Mobile_Networks,Tigo
102395-1,Mobile_Networks,Not set
102396-9,Mobile_Networks,Airtel
102396-9,Mobile_Networks,Vodacom
102396-9,Mobile_Networks,Tigo
102397-7,Mobile_Networks,Airtel
102397-7,Mobile_Networks,Vodacom
102397-7,Mobile_Networks,Tigo
102404-1,Mobile_Networks,Airtel
102404-1,Mobile_Networks,Tigo
102404-1,Mobile_Networks,Other
102400-9,Mobile_Networks,Airtel
102400-9,Mobile_Networks,Vodacom
102400-9,Mobile_Networks,Tigo
102398-5,Mobile_Networks,Airtel
102398-5,Mobile_Networks,Vodacom
102401-7,Mobile_Networks,Airtel
102402-5,Mobile_Networks,Airtel
102402-5,Mobile_Networks,Vodacom
102402-5,Mobile_Networks,Tigo
102403-3,Mobile_Networks,Airtel
102403-3,Mobile_Networks,Vodacom
102403-3,Mobile_Networks,Tigo
102405-8,Mobile_Networks,Airtel
102405-8,Mobile_Networks,Vodacom
102405-8,Mobile_Networks,Tigo
102406-6,Mobile_Networks,Airtel
102406-6,Mobile_Networks,Vodacom
102406-6,Mobile_Networks,Tigo
102406-6,Mobile_Networks,Other
102407-4,Mobile_Networks,Airtel
102407-4,Mobile_Networks,Vodacom
102408-2,Mobile_Networks,Not set
102409-0,Mobile_Networks,Vodacom
102410-8,Mobile_Networks,Vodacom
102411-6,Mobile_Networks,Not set
102412-4,Mobile_Networks,Airtel
102412-4,Mobile_Networks,Vodacom
102414-0,Mobile_Networks,Airtel
102414-0,Mobile_Networks,Vodacom
102414-0,Mobile_Networks,Tigo
102415-7,Mobile_Networks,Airtel
102415-7,Mobile_Networks,Vodacom
102415-7,Mobile_Networks,Tigo
102417-3,Mobile_Networks,Airtel
102417-3,Mobile_Networks,Vodacom
110865-3,Mobile_Networks,Airtel
110865-3,Mobile_Networks,Vodacom
110865-3,Mobile_Networks,Tigo
110865-3,Mobile_Networks,Zantel
110865-3,Mobile_Networks,Other
102418-1,Mobile_Networks,Airtel
102418-1,Mobile_Networks,Vodacom
102418-1,Mobile_Networks,Tigo
102418-1,Mobile_Networks,Zantel
102419-9,Mobile_Networks,Airtel
102419-9,Mobile_Networks,Vodacom
102420-7,Mobile_Networks,Airtel
102420-7,Mobile_Networks,Vodacom
102420-7,Mobile_Networks,Tigo
102423-1,Mobile_Networks,Not set
102424-9,Mobile_Networks,Airtel
102424-9,Mobile_Networks,Vodacom
102424-9,Mobile_Networks,Tigo
102424-9,Mobile_Networks,Zantel
113037-6,Mobile_Networks,Airtel
113037-6,Mobile_Networks,Vodacom
113037-6,Mobile_Networks,Tigo
113037-6,Mobile_Networks,Zantel
102425-6,Mobile_Networks,Airtel
102425-6,Mobile_Networks,Vodacom
102425-6,Mobile_Networks,Tigo
102425-6,Mobile_Networks,Zantel
102426-4,Mobile_Networks,Airtel
102426-4,Mobile_Networks,Vodacom
102428-0,Mobile_Networks,Airtel
102428-0,Mobile_Networks,Vodacom
102428-0,Mobile_Networks,Tigo
102427-2,Mobile_Networks,Not set
108697-4,Mobile_Networks,Airtel
108697-4,Mobile_Networks,Vodacom
108697-4,Mobile_Networks,Tigo
108697-4,Mobile_Networks,Other
102431-4,Mobile_Networks,Airtel
102431-4,Mobile_Networks,Vodacom
102431-4,Mobile_Networks,Tigo
113328-9,Mobile_Networks,Not set
102432-2,Mobile_Networks,Airtel
102432-2,Mobile_Networks,Vodacom
102433-0,Mobile_Networks,Airtel
102433-0,Mobile_Networks,Vodacom
102433-0,Mobile_Networks,Tigo
102433-0,Mobile_Networks,Other
102435-5,Mobile_Networks,Airtel
102435-5,Mobile_Networks,Vodacom
102434-8,Mobile_Networks,Airtel
