Facility_ID,Facility Name,Ward,Village/Street,Facility Type,Operating Status,Ownership,Latitude,Longitude,Facility_Zone,Facility_Region,Facility_District,Facility_Council,Facility_Location,Common_Facility_Name,Registration_ID,CTC_ID,MTUHA_Code,MSD_ID,Facility_Type,Facility_Ownership,Facility_Operating_Status,Facility_Registration_Status,Location_Description,Waypoint_Number,Altitude(Meters),Service_Areas(Villages),Catchment_Population,Date_Opened/Inaugurated/Upgraded,Year,Postal_Address,Postal_Code,Official_Phone_#,Official_Fax_#,Official_Email,Facility_In-Charge_Name,Facility_In-Charge_Cadre,Website
112921-2,City,Central,Darajani,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Northern Zone,Tanga,Tanga,Tanga CC,at City Dispensary Near Toyota office Bombo RD,Not set,162,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,at City Dispensary Near Toyota office Bombo RD,Not set,Not set,Not set,Not set,24 10 2017,2017,5209 Tanga,Not set,742 656 241,Not set,elifuraha.emanuel@yahoo.com,Elifuraha E. Mashambo,Optometrist,Not set
113256-2,CJC,Kimara,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Not set,Not set,PHL-C/UBG/AUT/011,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113465-9,Claim,Gongo la Mboto,Guluka kwalala,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,PHL-C/DSM-ILA/AUT/051,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Gongo la mboto,3452,10 09 2018,2018,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113051-7,Classic,Mjimwema,Mjimwema 'A',Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Not set,Not set,PHL-C/NJM/AUT/04,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,23 04 2014,2014,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113507-8,Clinchex,Kivukoni,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,PHL-C/DSM-ILA/AUT/026,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Kivukoni,1267,01 04 2019,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112557-4,Cmk Health Care,Wazo,Mivumoni,Dispensary,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Wazo Mivumoni,Not set,71568,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Wazo Mivumoni,Not set,Not set,Not set,Not set,05 06 2018,2018,Box 5918,Not set,744111116,Not set,Not set,Dr Gustavus Deusdedith,Medical Officer,Not set
111291-1,COGI Kaya,Pasua,Not set,Dispensary,Operating,Private - Faith based organization (FBO) - Other Denominations,,,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO) - Other Denominations,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100915-8,Cogi Namanga,Namanga,Not set,Dispensary,Closed (Temporary),Private,,,Northern Zone,Arusha,Longido,Longido DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private,Closed (Temporary),Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100920-8,Cogilan Danay,Naberera,Landanai,Dispensary,Closed,Private,,,Northern Zone,Manyara,Simanjiro,Simanjiro DC,Not set,Cogi Landanai,Not set,Not set,Not set,Not set,Dispensary,Private,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111618-5,Community Eye and vision Centre,Gongo la Mboto,Ulongoni,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Near Kampala International University,Not set,132,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Near Kampala International University,Not set,71,Not set,Not set,09 02 2016,2016,13024 Arusha,Not set,2.55755E+11,Not set,jrmsuya@outlook.com,Juraj Msuya,Optometrist,Not set
110144-3,Community KMT,Nyihogo,Nyihogo,Dispensary,Operating,Private - For Profit,,,Western Zone,Shinyanga,Kahama,Kahama TC,Not set,Community,Not set,Not set,17-04-032,Not set,Dispensary,Private - For Profit,Operating,Registered,Not set,3,Not set,Not set,Not set,07 09 2013,2013,Kahama,Not set,Not set,Not set,Not set,Fulgence Mlagwa,Clinical Officer,Not set
110824-0,Consila,Not set,Not set,Dispensary,Closed,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - For Profit,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111985-8,corprus,Not set,Not set,Health Labs,Operating,Private - For Profit,,,Northern Zone,Arusha,Arusha,Arusha DC,Not set,Not set,PHL-C/AR/AUT/19,Not set,Not set,Not set,Health Labs,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100937-2,CRCT Mbuyuni,Bondeni,Not set,Dispensary,Closed,Private - Faith based organization (FBO),,,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
100939-8,CRT Pentecoste,Daudi,Not set,Dispensary,Closed,Private - Faith based organization (FBO),,,Northern Zone,Manyara,Mbulu,Mbulu TC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private - Faith based organization (FBO),Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112599-6,DAIFU,Kariakoo,Kariakoo Magharibi,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Dr. Maarufu,53,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,31 05 2012,2012,41015 DSM,Not set,754543953,Not set,Not set,RASHID MKWAYA MAARUFU,OPTOMETRIST,Not set
110972-7,Damat,Buhongwa,Bulale,Maternity Home,Closed,Private - For Profit,,,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,ALONG SHINYANGA ROAD,PRINMAT DAMAT,Not set,Not set,Not set,Not set,Maternity Home,Private - For Profit,Closed,Registered,ALONG SHINYANGA ROAD,Not set,Not set,"MKOLANI,BUHONGWA,NYAMBITI",Not set,10 11 2009,Not set,SLP 3128,Not set,Not set,Not set,Not set,RITHA LYAMBA,ENROLLED NURSE,Not set
113435-2,Damide,Chanika,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,PHL-C/DSM-ILA/AUT/030,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Chanika,1562,19 03 2018,2018,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113058-2,Danda,Njombe Mjini,Idundilanga,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Highlands Zone,Njombe,Njombe,Njombe TC,Not set,Not set,PHL-C/NJM/AUT/011,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,01 06 2008,2008,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112729-9,Dar es Salaam Optical Company Ltd,Kisutu,Kisutu,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,9,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,31 05 2012,2012,742 DSM,Not set,754 636 656,Not set,daropt@cats-net.com,Bashir H. Gulamali,Optometrist,Not set
113086-3,Delux one,Mjini,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Zone,Ruvuma,Songea,Songea MC,Not set,Not set,PHL-C/RUV/AUT/021,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112925-3,Deluxe,Magunga,Masuguru,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Northern Zone,Tanga,Korogwe,Korogwe TC,Magunga hospital Rd,Not set,112,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Magunga hospital Rd,Not set,Not set,Not set,Not set,31 05 2012,2012,571 Korogwe,Not set,714 933 738,Not set,mully-mbaga@hotmail.com,Mohamed Salim Mmbaga,Optometrist,Not set
100965-3,Dental Consult,Gerezani,Gerezani Mashariki,Clinic,Closed,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,Not set,Not set,Not set,Not set,Clinic,Private - For Profit,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113477-4,Diana Memorial,Mwananyamala,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,PHL-C/DSM-KIN/AUT/016,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113237-2,Digital,Pongwe,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Northern Zone,Tanga,Tanga,Tanga CC,Not set,Not set,PHL-C/TAG/AUT/018,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112945-1,DMJ Optical Centre,Kitanzini,Jamati,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Not set,Not set,51,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,31 05 2012,2012,1470 Iringa,Not set,754318394,Not set,kabuhayadkakazoba@gmail.com,Dennice A. Kakazoba,Optometrist,Not set
112923-8,DMK,Makorongoni,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Not set,Not set,PHL-C/IR/AUT/014,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112014-6,dokta,Not set,Not set,Health Labs,Operating,Private - For Profit,,,Southern Highlands Zone,Katavi,Mpanda,Mpanda MC,Not set,Not set,PHL-C/KTV/AUT/07,Not set,Not set,Not set,Health Labs,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112847-9,Donald,Kahama Mjini,Igalilimi,Clinic - Dental Clinic,Operating,Private - For Profit,,,Western Zone,Shinyanga,Kahama,Kahama TC,Not set,Not set,174233,Not set,Not set,Not set,Clinic - Dental Clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,10 12 2018,2018,Box 271,Not set,756554710,Not set,Not set,Dr Donald Gwabo,DDS,Not set
112845-3,Dorcas,Kalemela,Chamugasa,Maternity and Nursing Home,Operating,Private - For Profit,,,Western Zone,Simiyu,Busega,Busega DC,Not set,Dorcas,Not set,Not set,Not set,Not set,Maternity and Nursing Home,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,P.o.box 422,Not set,763630446,Not set,shadrackmagrethmpandashalo@yahoo.com,Magreth Samson Madila,Registered Nurse,Not set
113461-8,DOUBLE B,Msongola,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,PHL-C/DSM-ILA/AUT/047,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Msongola,2292,20 05 2019,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112620-0,Double E&G,Uyole,Not set,Health Labs - Level III single purpose Health Laboratory,Closed,Private - For Profit,,,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Not set,Not set,phl-c/mby/aut/020,Not set,Not set,Not set,Health Labs - Level III single purpose Health Laboratory,Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113165-5,Double J,Ndala,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Western Zone,Shinyanga,Shinyanga,Shinyanga MC,Not set,Not set,PHL-C/SHY/AUT/06,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112681-2,Dove,Mafiga,Not set,Health Labs,Operating,Private - For Profit,,,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Not set,Not set,Not set,Not set,Not set,Not set,Health Labs,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112911-3,Dream,Gangilonga,Not set,Health Labs - Level IIA2 (District Laboratory),Operating,Private - For Profit,,,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Not set,Not set,PHL-C/IR/AUT/05,Not set,Not set,Not set,Health Labs - Level IIA2 (District Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113359-4,DS - MED OPTICS VISION CARE,Nzega Mjini,Tabora Road,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Western Zone,Tabora,Nzega,Nzega TC,NBM Street,Not set,36,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,NBM Street,Not set,Not set,Not set,Not set,31 05 2012,2012,467 Nzega,Not set,755401501,Not set,msengwad@yahoo.com,Dunstan H. Msingwa,Optometrist,Not set
113053-3,Ebenezer,Mjimwema,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Closed,Private - For Profit,,,Southern Highlands Zone,Njombe,Njombe,Makambako TC,Not set,Not set,PHL-C/NJM/AUT/06,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed,Not Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112944-4,Edcon,Kiusa,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Northern Zone,Kilimanjaro,Moshi,Moshi MC,Not set,Not set,PHL-C/KIL/AUT/01,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
111298-6,Eden,Not set,Not set,Health Center,Operating,Private - For Profit,,,Western Zone,Tabora,Nzega,Nzega TC,Not set,Not set,Not set,Not set,Not set,Not set,Health Center,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112562-4,Eden,Wazo,Madala,Dispensary,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,71535,Not set,Not set,Not set,Dispensary,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,21 08 2018,2018,Box 30280,Not set,Not set,Not set,Not set,Dr Stephen Lawison,Medical Officer,Not set
113181-2,Eden,Ibadakuli,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113475-8,Eden,Kinondoni,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,PHL-C/DSM-KIN/AUT012,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112544-2,Eiffel,Msasani,Oysterbay,Clinic - Other Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Toure Drive,Eiffel,71560,Not set,Not set,Not set,Clinic - Other Clinic,Private - For Profit,Operating,Registered,Toure Drive,Not set,Not set,Not set,Not set,14 05 2018,2018,Box 70461,Not set,754577775,Not set,Not set,Dr Jean Christopher Le Galle,Eye Specialist,Not set
113130-9,EL-Pesiba,Kinampanda,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Central Zone,Singida,Iramba,Iramba DC,Not set,Not set,PHL-C/SGD/AUT/017,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113540-9,Elgibo,Moshono,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Closed,Private - For Profit,,,Northern Zone,Arusha,Arusha,Arusha CC,Not set,Not set,PHL-C/ARS/AUT/051,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113486-5,Eli shadai,Wazo,Madala,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,PHL-C/DSM-KIN/AUT/027,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112546-7,Elishadai,Makoko,Not set,Health Labs,Closed,Private - For Profit,,,Lake Zone,Mara,Musoma,Musoma MC,Not set,Not set,PHL-C/MAR/AUT/07,Not set,Not set,Not set,Health Labs,Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
101072-7,Elly Medical,Mwananyamala,Msisiri B,Clinic,Closed,Private,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Ahueni clinic,Not set,Not set,Not set,Not set,Clinic,Private,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113432-9,Elyon,Tabata,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,PHL-C/DSM-ILA/AUT/027,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Tabata,6241,21 01 2019,2019,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113397-4,EML,Nyampulukano,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Closed,Private - For Profit,,,Lake Zone,Mwanza,Sengerema,Sengerema DC,Not set,Not set,PHL-C/MWZ/AUT/057,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113681-1,Endakikoti,Dareda,Seloto,Dispensary,Pending Operation - Under Construction,Public - LGA,,,Northern Zone,Manyara,Babati,Babati DC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Public - LGA,Pending Operation - Under Construction,Not Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113205-9,Ester Ben,Isevya,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Western Zone,Tabora,Tabora,Tabora MC,Not set,Not set,PHL-C/TAB/AUT/022,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113293-5,Esther,Kisarawe,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Closed,Private - For Profit,,,Eastern Zone,Pwani,Kisarawe,Kisarawe DC,Not set,Not set,PHL-C/PWN/AUT/021,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Closed,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112754-7,Eye Care Center,Kisutu,Mtendeni,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,at Hyadery Plaza,Not set,22,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,at Hyadery Plaza,Not set,Not set,Not set,Not set,31 05 2012,2012,1563 DSM,Not set,652 777 777,Not set,Not set,ronakgohil@yahoo.com,Ronak JItendra Gohil,Not set
112761-2,Eye Emporium,Kisutu,Kisutu,Clinic - Super specialized clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Not set,Not set,72261,Not set,Not set,Not set,Clinic - Super specialized clinic,Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,15 05 2018,2018,Box 1068,Not set,Not set,Not set,Not set,Prof Nicholas Ngumu Kinabo,Specialist,Not set
112147-4,Eye Emporium Limited,Kisutu,Kisutu,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Behind Hindu Mandal Hospital,Eye Emporium,49,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Behind Hindu Mandal Hospital,Not set,Not set,Not set,Not set,31 05 2012,2012,1068 DSM,Not set,787033248,Not set,imran@eye-emporium.com,Shaznan Bhaloo,Optometrist,Not set
112731-5,Eye Emporium Limited,Makongo,Mlalakuwa,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mlimani City Mall,Not set,165,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Mlimani City Mall,Not set,Not set,Not set,Not set,06 03 2018,2018,1068 DSM,Not set,787 033 248,Not set,admin@eyeemporium.co.tz,Vinod Chotturam,Optometrist,Not set
113398-2,F.A,Nyamagana,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Not set,Not set,PHL-C/MWZ/AUT/022,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113210-9,Faith,Nzega Mjini,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Western Zone,Tabora,Nzega,Nzega TC,Not set,Not set,PHL-C/TAB/AUT/027,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
112758-8,Faith Eye Care Centre,Sinza,Sinza B,Clinic - Optometry Clinic,Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Sinza Makaburini,Not set,161,Not set,Not set,Not set,Clinic - Optometry Clinic,Private - For Profit,Operating,Registered,Sinza Makaburini,Not set,Not set,Not set,Not set,24 10 2017,2017,55068 DSM,Not set,712 499 030,Not set,elihakiherman@gmail.com,Herman Elihaki,Optometrist,Not set
113480-8,Fajusa,Msasani,Mikoroshini,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Not set,Not set,PHL-C/DSM-KIN/AUT/021,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113042-6,Family,Kayanga,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Lake Zone,Kagera,Karagwe,Karagwe DC,Not set,Not set,PHL-C/KAG/AUT/08,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
113396-6,Family,Pasiansi,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Operating,Private - For Profit,,,Lake Zone,Mwanza,Ilemela,Ilemela MC,Not set,Not set,PHL-C/MWZ/AUT/090,Not set,Not set,Not set,Health Labs - Level IA2 (Dispensary Laboratory),Private - For Profit,Operating,Registered,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
101128-7,Family,Makorongoni,Not set,Dispensary,Closed,Private,,,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Not set,Not set,Not set,Not set,Not set,Not set,Dispensary,Private,Closed,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set,Not set
